"DateTime","Aggregate Feed Rates: Security Information Processors"
"2019-02-08 12:00:00",4572928
"2019-02-08 12:01:00",5518302
"2019-02-08 12:02:00",4546199
"2019-02-08 12:03:00",3099614
"2019-02-08 12:04:00",1953541
"2019-02-08 12:05:00",2909614
"2019-02-08 12:06:00",4094549
"2019-02-08 12:07:00",3133832
"2019-02-08 12:08:00",3635108
"2019-02-08 12:09:00",2179109
"2019-02-08 12:10:00",7001753
"2019-02-08 12:11:00",3100151
"2019-02-08 12:12:00",3465531
"2019-02-08 12:13:00",3571408
"2019-02-08 12:14:00",6271986
"2019-02-08 12:15:00",4000467
"2019-02-08 12:16:00",1956800
"2019-02-08 12:17:00",3066506
"2019-02-08 12:18:00",2277080
"2019-02-08 12:19:00",9558419
"2019-02-08 12:20:00",4626125
"2019-02-08 12:21:00",2732053
"2019-02-08 12:22:00",3107904
"2019-02-08 12:23:00",3458382
"2019-02-08 12:24:00",3472322
"2019-02-08 12:25:00",3974975
"2019-02-08 12:26:00",2979929
"2019-02-08 12:27:00",4926211
"2019-02-08 12:28:00",5076721
"2019-02-08 12:29:00",4480711
"2019-02-08 12:30:00",3201181
"2019-02-08 12:31:00",6479631
"2019-02-08 12:32:00",3132915
"2019-02-08 12:33:00",3886729
"2019-02-08 12:34:00",4614601
"2019-02-08 12:35:00",1884051
"2019-02-08 12:36:00",4458170
"2019-02-08 12:37:00",1806529
"2019-02-08 12:38:00",4202148
"2019-02-08 12:39:00",2882783
"2019-02-08 12:40:00",3235075
"2019-02-08 12:41:00",10190386
"2019-02-08 12:42:00",3058477
"2019-02-08 12:43:00",2613979
"2019-02-08 12:44:00",2964786
"2019-02-08 12:45:00",1690873
"2019-02-08 12:46:00",4500113
"2019-02-08 12:47:00",2418995
"2019-02-08 12:48:00",2358887
"2019-02-08 12:49:00",2101325
"2019-02-08 12:50:00",3992263
"2019-02-08 12:51:00",3343367
"2019-02-08 12:52:00",3451607
"2019-02-08 12:53:00",1684921
"2019-02-08 12:54:00",4000880
"2019-02-08 12:55:00",2671770
"2019-02-08 12:56:00",2922597
"2019-02-08 12:57:00",3023114
"2019-02-08 12:58:00",2006698
"2019-02-08 12:59:00",3117789
"2019-02-08 13:00:00",2810650
"2019-02-08 13:01:00",4578642
"2019-02-08 13:02:00",3364784
"2019-02-08 13:03:00",3357748
"2019-02-08 13:04:00",2640026
"2019-02-08 13:05:00",3531916
"2019-02-08 13:06:00",2297978
"2019-02-08 13:07:00",3363372
"2019-02-08 13:08:00",3303309
"2019-02-08 13:09:00",2414327
"2019-02-08 13:10:00",3992234
"2019-02-08 13:11:00",7116556
"2019-02-08 13:12:00",3775969
"2019-02-08 13:13:00",5116422
"2019-02-08 13:14:00",5086645
"2019-02-08 13:15:00",3647223
"2019-02-08 13:16:00",2663363
"2019-02-08 13:17:00",2182597
"2019-02-08 13:18:00",6176817
"2019-02-08 13:19:00",2671128
"2019-02-08 13:20:00",1774094
"2019-02-08 13:21:00",2508476
"2019-02-08 13:22:00",3553218
"2019-02-08 13:23:00",1873856
"2019-02-08 13:24:00",2336175
"2019-02-08 13:25:00",6354366
"2019-02-08 13:26:00",4642259
"2019-02-08 13:27:00",4428758
"2019-02-08 13:28:00",2812299
"2019-02-08 13:29:00",2923005
"2019-02-08 13:30:00",3775107
"2019-02-08 13:31:00",3064093
"2019-02-08 13:32:00",2733007
"2019-02-08 13:33:00",1917059
"2019-02-08 13:34:00",2752947
"2019-02-08 13:35:00",2473115
"2019-02-08 13:36:00",2454645
"2019-02-08 13:37:00",2837034
"2019-02-08 13:38:00",3363355
"2019-02-08 13:39:00",3602660
"2019-02-08 13:40:00",1859835
"2019-02-08 13:41:00",1886740
"2019-02-08 13:42:00",3358025
"2019-02-08 13:43:00",2749799
"2019-02-08 13:44:00",2319611
"2019-02-08 13:45:00",3531842
"2019-02-08 13:46:00",2035270
"2019-02-08 13:47:00",1351773
"2019-02-08 13:48:00",2396546
"2019-02-08 13:49:00",1493612
"2019-02-08 13:50:00",1493271
"2019-02-08 13:51:00",3698962
"2019-02-08 13:52:00",2070308
"2019-02-08 13:53:00",1471414
"2019-02-08 13:54:00",2519021
"2019-02-08 13:55:00",1845035
"2019-02-08 13:56:00",2588371
"2019-02-08 13:57:00",1521489
"2019-02-08 13:58:00",9386532
"2019-02-08 13:59:00",4582072
"2019-02-08 14:00:00",2195536
"2019-02-08 14:01:00",4233900
"2019-02-08 14:02:00",3400030
"2019-02-08 14:03:00",2940337
"2019-02-08 14:04:00",3406828
"2019-02-08 14:05:00",1970279
"2019-02-08 14:06:00",1388744
"2019-02-08 14:07:00",3202134
"2019-02-08 14:08:00",3324075
"2019-02-08 14:09:00",1889567
"2019-02-08 14:10:00",3388391
"2019-02-08 14:11:00",2385530
"2019-02-08 14:12:00",2584603
